custid,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
1700,23,酒饮,2306,运动机能饮料,230604,健康机能饮料,20150224,201502,DW-2306040044,,一般商品,瓶,,4.9,4.9,否
846,23,酒饮,2316,香烟,231602,国产省外香烟,20150224,201502,DW-2316020044,,一般商品,包,,22,23,否
497,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010019,,生鲜,千克,,3.4,1.96,否
803,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150224,201502,DW-3018020265,,一般商品,包,,3.9,3.9,否
1701,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150224,201502,DW-2303040021,,一般商品,瓶,,10.9,11.3,否
1701,23,酒饮,2314,进口酒,231404,预调酒,20150224,201502,DW-2314040059,,一般商品,瓶,,12.5,13.8,否
253,12,蔬果,1203,水果,120313,其它水果,20150224,201502,DW-1203130446,,生鲜,KG,,4.88,30,否
1444,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150224,201502,DW-1505010060,,一般商品,碗,,5.5,5.5,否
1272,22,休闲,2202,糕点,220201,派,20150224,201502,DW-2202010037,,一般商品,盒,,9.1,9.5,否
682,20,粮油,2006,五谷杂粮,200607,杂粮,20150224,201502,DW-2006070062,,一般商品,公斤,,9.03,13.8,否
1702,12,蔬果,1203,水果,120302,苹果类,20150224,201502,DW-1203020172,,生鲜,KG,,16.56,11.98,否
395,22,休闲,2202,糕点,220203,蛋卷,20150224,201502,DW-2202030072,,一般商品,盒,,6.9,7.3,否
395,22,休闲,2206,即食熟制品,220603,禽肉,20150224,201502,DW-2206030070,,一般商品,袋,,4.5,4.5,否
231,12,蔬果,1201,蔬菜,120107,有机蔬菜,20150224,201502,DW-1201070001,,生鲜,KG,,6.34,5,否
337,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020029,,生鲜,千克,,5.45,3.96,否
412,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010020,,生鲜,包,,4.5,4.98,否
1215,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040026,,生鲜,千克,,10.68,1.98,否
1215,22,休闲,2207,糖果,220799,其他糖果,20150224,201502,DW-2207990011,,一般商品,千克,,20.2,39.8,否
236,23,酒饮,2301,碳酸饮料,230101,可乐型,20150224,201502,DW-2301010007,,一般商品,瓶,,5.8,6.9,否
1700,11,水产,1104,加工水产,110402,水产配菜,20150224,201502,DW-1104020002,,生鲜,袋,,15.7,15.75,否
385,15,日配,1505,冷藏乳品,150599,其它冷藏乳品,20150224,201502,DW-1505990006,,一般商品,杯,,4.9,5.5,是
373,10,肉禽,1001,猪肉,100101,鲜猪肉,20150224,201502,DW-1001010194,,生鲜,千克,,3.2,29.8,否
373,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020013,,生鲜,千克,,3,4,否
983,20,粮油,2005,煮食面/粉,200599,其他煮食面/粉,20150224,201502,DW-2005990031,,一般商品,kg,,4,10.8,否
983,22,休闲,2203,膨化点心,220302,袋装薯片,20150224,201502,DW-2203020043,,一般商品,袋,,5.2,5.5,否
1272,13,熟食,1302,卤制熟食,130201,卤制畜类,20150224,201502,DW-1302010082,散称,联营商品,kg,,23.1,90,否
785,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020008,,生鲜,千克,,3.8,5.8,否
443,23,酒饮,2307,乳饮料,230704,加味酸乳饮,20150224,201502,DW-2307040024,,一般商品,瓶,,8.9,11,是
92,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040016,,生鲜,千克,,2.51,1.6,否
352,22,休闲,2203,膨化点心,220304,薯条,20150224,201502,DW-2203040013,,一般商品,袋,,5.5,5.9,否
352,30,洗化,3018,卫生巾,301802,夜用卫生巾,20150224,201502,DW-3018020258,,一般商品,包,,3.9,4.9,是
1703,23,酒饮,2303,果汁饮料,230399,其他果汁饮料,20150224,201502,DW-2303990131,,一般商品,瓶,,3,3,否
1704,20,粮油,2005,煮食面/粉,200503,儿童挂面,20150224,201502,DW-2005030022,,一般商品,袋,,5.3,5.7,否
1704,20,粮油,2009,盐/糖,200907,功能糖,20150224,201502,DW-2009070023,,一般商品,袋,,9.9,9.9,否
1704,22,休闲,2202,糕点,220208,散称糕点,20150224,201502,DW-2202080017,,一般商品,KG,,13.52,39.8,是
593,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050011,,生鲜,千克,,0.99,6.56,否
231,15,日配,1509,冷冻蔬菜肉品,150904,冷冻蔬菜类,20150224,201502,DW-1509040003,,一般商品,袋,,7.5,7.7,否
231,15,日配,1521,蛋类,152101,新鲜蛋品,20150224,201502,DW-1521010002,,一般商品,千克,,22.15,19.2,否
231,15,日配,1521,蛋类,152103,松花蛋,20150224,201502,DW-1521030028,,一般商品,盒,,18.5,18.5,否
231,34,针织,3407,女袜,340701,女棉长/短筒袜,20150224,201502,DW-3407010587,,一般商品,双,,2.9,2.9,否
1705,12,蔬果,1201,蔬菜,120106,菌菇类,20150224,201502,DW-1201060010,,生鲜,千克,,4.25,9,否
1444,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020029,,生鲜,千克,,1.93,3.96,否
1041,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020029,,生鲜,千克,,4.7,3.96,否
1706,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010019,,生鲜,千克,,2.82,1.96,否
1707,30,洗化,3010,婴幼儿用品,301004,婴幼儿护肤用品,20150224,201502,DW-3010040175,,一般商品,瓶,,9.9,19.9,是
857,21,冲调,2105,冲调食品,210503,芝麻糊,20150224,201502,DW-2105030029,,一般商品,袋,,25.9,25.9,否
1699,33,文体,3328,包装材料,332803,红包,20150224,201502,DW-3328030015,,一般商品,个,,1,1,否
105,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010001,,生鲜,千克,,1.55,5.56,否
395,22,休闲,2205,炒货,220506,杏仁,20150224,201502,DW-2205060023,,一般商品,袋,,16.9,16.9,否
1701,13,熟食,1301,凉拌熟食,130102,凉拌荤食,20150224,201502,DW-1301020001,散称,联营商品,千克,,26.8,35.6,否
1444,30,洗化,3016,纸制品,301606,手帕纸,20150224,201502,DW-3016060009,,一般商品,条,,5,6.9,是
1524,12,蔬果,1203,水果,120307,蕉类,20150224,201502,DW-1203070022,,生鲜,KG,,15.7,5.96,否
1708,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050004,,生鲜,千克,,0.7,5.98,否
1708,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150224,201502,DW-1505010100,,一般商品,袋,,11.9,11.9,否
1688,22,休闲,2204,蜜饯,220403,梅,20150224,201502,DW-2204030325,,一般商品,袋,,4.2,4.2,否
231,30,洗化,3013,口腔卫生用品,301303,成人牙刷,20150224,201502,DW-3013030519,,一般商品,支,,5.9,5.9,否
337,12,蔬果,1203,水果,120307,蕉类,20150224,201502,DW-1203070022,,生鲜,KG,,8.83,5.96,否
371,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040010,,生鲜,千克,,6.73,2.58,否
1046,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040010,,生鲜,千克,,4.3,2.58,否
1706,12,蔬果,1201,蔬菜,120106,菌菇类,20150224,201502,DW-1201060010,,生鲜,千克,,4.83,9,否
1706,12,蔬果,1203,水果,120313,其它水果,20150224,201502,DW-1203130446,,生鲜,KG,,8.34,30,否
1444,22,休闲,2206,即食熟制品,220607,豆干类,20150224,201502,DW-2206070073,,一般商品,袋,,2.5,2.5,否
1707,30,洗化,3006,洗衣用品,300604,洗衣皂,20150224,201502,DW-3006040095,,一般商品,条,,10,10,否
352,30,洗化,3018,卫生巾,301801,日用卫生巾,20150224,201502,DW-3018010304,,一般商品,包,,6.5,7.7,是
1702,22,休闲,2202,糕点,220205,中式糕点,20150224,201502,DW-2202050054,,一般商品,千克,,6.13,25,是
1702,22,休闲,2202,糕点,220208,散称糕点,20150224,201502,DW-2202080013,,一般商品,kg,,6.15,31.8,是
1595,20,粮油,2008,调味料,200807,调理粉,20150224,201502,DW-2008070109,,一般商品,袋,,4.5,4.7,否
236,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020029,,生鲜,千克,,8.36,3.96,否
236,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050011,,生鲜,千克,,1.27,6.56,否
1083,23,酒饮,2316,香烟,231601,国产省内香烟,20150224,201502,DW-2316010005,,一般商品,包,,110,12,否
92,20,粮油,2014,酱菜类,201401,榨菜,20150224,201502,DW-2014010016,,一般商品,袋,,1.6,1.7,否
1706,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150224,201502,DW-1517010003,,一般商品,袋,,13.9,16.3,是
731,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040010,,生鲜,千克,,4.29,2.58,否
105,20,粮油,2001,袋装速食面,200101,牛肉口味,20150224,201502,DW-2001010007,,一般商品,袋,,2.5,3,否
395,22,休闲,2206,即食熟制品,220606,海苔,20150224,201502,DW-2206060059,,一般商品,包,,5.9,5.9,否
395,22,休闲,2210,果冻,221003,杯装果冻,20150224,201502,DW-2210030018,,一般商品,只,,3.9,3.9,否
593,12,蔬果,1202,加工豆类,120201,豆腐,20150224,201502,DW-1202018073,,生鲜,千克,,1.73,2.96,否
593,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150224,201502,DW-2303040047,,一般商品,瓶,,3.5,3.5,否
857,22,休闲,2203,膨化点心,220301,米制点心,20150224,201502,DW-2203010112,,一般商品,袋,,9.9,16.9,是
1215,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020045,,生鲜,千克,,6.72,7.6,否
3,22,休闲,2206,即食熟制品,220605,鱼类,20150224,201502,DW-2206050171,,一般商品,kg,,5.1,55.8,否
1704,20,粮油,2005,煮食面/粉,200503,儿童挂面,20150224,201502,DW-2005030023,,一般商品,袋,,5.3,5.7,否
1459,12,蔬果,1203,水果,120301,柑桔柚类,20150224,201502,DW-1203010293,,生鲜,KG,,80.62,10,否
395,12,蔬果,1203,水果,120302,苹果类,20150224,201502,DW-1203020173,,生鲜,KG,,22.9,19.8,否
1188,12,蔬果,1203,水果,120313,其它水果,20150224,201502,DW-1203130446,,生鲜,KG,,9.87,30,否
487,20,粮油,2005,煮食面/粉,200501,挂面,20150224,201502,DW-2005010075,,一般商品,袋,,4.5,4.7,否
803,30,洗化,3018,卫生巾,301801,日用卫生巾,20150224,201502,DW-3018010115,,一般商品,包,,6.5,6.7,否
1705,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040035,,生鲜,千克,,8.83,9.6,否
105,20,粮油,2011,液体调料,201101,老抽酱油,20150224,201502,DW-2011010038,,一般商品,瓶,,3.9,3.9,否
1688,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150224,201502,DW-1518130017,,一般商品,盒,,55,5.8,是
231,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020042,,生鲜,千克,,2.8,7.8,否
337,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020008,,生鲜,千克,,6.3,5.8,否
1562,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010018,,生鲜,千克,,2.09,12,否
1708,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150224,201502,DW-1505040001,,一般商品,组,,8.9,12.9,是
1562,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010006,,生鲜,千克,,1.07,12,否
1708,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150224,201502,DW-1505040031,,一般商品,瓶,,10.9,13.5,是
1708,15,日配,1510,冷冻水饺,151099,其它水饺,20150224,201502,DW-1510990021,,一般商品,袋,,7.9,8.3,否
1708,20,粮油,2003,桶杯装速食面,200304,海鲜口味,20150224,201502,DW-2003040001,,一般商品,杯,,2.5,3,否
20,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150224,201502,DW-1202048043,,生鲜,千克,,2.49,6.96,否
20,15,日配,1521,蛋类,152103,松花蛋,20150224,201502,DW-1521030041,,生鲜,KG,,5.91,19.6,否
731,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040026,,生鲜,千克,,5.01,1.98,否
105,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040010,,生鲜,千克,,3.68,2.58,否
371,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020029,,生鲜,千克,,4.25,3.96,否
371,12,蔬果,1201,蔬菜,120106,菌菇类,20150224,201502,DW-1201060002,,生鲜,千克,,4.7,18,否
309,15,日配,1518,常温乳品,151810,百利包加味奶,20150224,201502,DW-1518100001,,一般商品,袋,,2,2,否
1708,20,粮油,2001,袋装速食面,200104,海鲜口味,20150224,201502,DW-2001040003,,一般商品,袋,,2.5,3,否
236,22,休闲,2207,糖果,220799,其他糖果,20150224,201502,DW-2207990007,,一般商品,千克,,8.96,49.8,否
1700,23,酒饮,2306,运动机能饮料,230604,健康机能饮料,20150224,201502,DW-2306040017,,一般商品,听,,5.4,5.5,否
846,15,日配,1501,冷藏肉制品,150103,块状火腿,20150224,201502,DW-1501030010,,一般商品,组,,22.5,23.3,否
385,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150224,201502,DW-1505010100,,一般商品,袋,,11.9,11.9,否
1188,21,冲调,2103,咖啡,210301,咖啡,20150224,201502,DW-2103010014,,一般商品,瓶,,22.9,23.3,否
3,22,休闲,2205,炒货,220511,锅巴,20150224,201502,DW-2205110007,,一般商品,袋,,1.8,1.8,否
1459,12,蔬果,1203,水果,120302,苹果类,20150224,201502,DW-1203020172,,生鲜,KG,,68.78,11.98,否
231,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010023,,生鲜,千克,,1.69,2.56,否
1709,22,休闲,2203,膨化点心,220306,综合包,20150224,201502,DW-2203060010,,一般商品,袋,,32.9,33.9,是
487,22,休闲,2201,饼干,220114,早餐饼,20150224,201502,DW-2201140002,,一般商品,袋,,6.9,6.9,否
803,30,洗化,3006,洗衣用品,300601,洗衣粉,20150224,201502,DW-3006010007,,一般商品,袋,,5.5,5.7,否
731,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150224,201502,DW-1518130011,,一般商品,盒,,5.3,5.3,否
39,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040051,,生鲜,千克,,1.09,7.96,否
497,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040049,,生鲜,千克,,1.2,5.8,否
145,31,家居,3118,打扫用品,311806,畚斗组,20150224,201502,DW-3118060017,,一般商品,套,,17,17,否
412,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050004,,生鲜,千克,,1.1,5.98,否
487,33,文体,3315,益智玩具,331504,彩泥,20150224,201502,DW-3315040058,,一般商品,盒,,19,19,否
1524,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150224,201502,DW-1518130017,,一般商品,盒,,55,5.8,是
39,15,日配,1521,蛋类,152101,新鲜蛋品,20150224,201502,DW-1521010005,,一般商品,千克,,4.01,6.78,否
267,23,酒饮,2302,纯果汁,230203,纯苹果汁,20150224,201502,DW-2302030001,,一般商品,盒,,13.8,12.3,否
846,15,日配,1501,冷藏肉制品,150102,棒状火腿,20150224,201502,DW-1501020008,,一般商品,根,,16.9,17.3,否
385,15,日配,1505,冷藏乳品,150505,冷藏营养酸乳,20150224,201502,DW-1505050020,,一般商品,瓶,,8.9,8.9,否
487,22,休闲,2201,饼干,220111,趣味/休闲,20150224,201502,DW-2201110155,,一般商品,盒,,4.9,4.9,否
1710,13,熟食,1302,卤制熟食,130201,卤制畜类,20150224,201502,DW-1302010082,散称,联营商品,kg,,42.5,90,否
1041,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020044,,生鲜,千克,,3.57,3.96,否
1041,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050007,,生鲜,千克,,1.61,15.6,否
983,30,洗化,3006,洗衣用品,300602,洗衣液,20150224,201502,DW-3006020031,,一般商品,瓶,,39.9,51.9,是
983,30,洗化,3016,纸制品,301603,无芯纸,20150224,201502,DW-3016030007,,一般商品,提,,11.9,14.5,是
983,33,文体,3321,学生用品,332106,笔盒/笔袋,20150224,201502,DW-3321060179,,一般商品,支,,3,3.3,否
139,30,洗化,3013,口腔卫生用品,301301,成人牙膏,20150224,201502,DW-3013010632,,一般商品,支,,13.9,13.9,否
1706,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010021,,生鲜,千克,,2.9,6.56,否
1706,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040010,,生鲜,千克,,4.79,2.58,否
1704,20,粮油,2005,煮食面/粉,200502,杂粮挂面,20150224,201502,DW-2005020005,,一般商品,卷,,9.5,9.9,否
1704,20,粮油,2009,盐/糖,200902,功能盐,20150224,201502,DW-2009020014,,一般商品,袋,,2.5,2.5,否
1704,23,酒饮,2307,乳饮料,230705,乳酸菌饮料,20150224,201502,DW-2307050002,,一般商品,板,,15,7.5,否
395,22,休闲,2205,炒货,220504,开心果,20150224,201502,DW-2205040016,,一般商品,袋,,15.9,15.9,否
395,22,休闲,2205,炒货,220513,香瓜子,20150224,201502,DW-2205130008,,一般商品,袋,,8.2,9.5,是
593,12,蔬果,1203,水果,120307,蕉类,20150224,201502,DW-1203070022,,生鲜,KG,,1.96,5.96,否
231,34,针织,3408,男袜,340802,男绅士袜,20150224,201502,DW-3408020892,,一般商品,双,,5,5,否
1562,12,蔬果,1201,蔬菜,120104,花果,20150224,201502,DW-1201040036,,生鲜,千克,,2.27,1.8,否
1595,22,休闲,2204,蜜饯,220405,山楂,20150224,201502,DW-2204050021,,一般商品,扎,,5.7,5.7,否
236,22,休闲,2207,糖果,220799,其他糖果,20150224,201502,DW-2207990013,,一般商品,千克,,9.52,54,否
811,20,粮油,2005,煮食面/粉,200501,挂面,20150224,201502,DW-2005010001,,一般商品,袋,,7.8,8.7,否
785,23,酒饮,2309,啤酒,230901,国产黄啤,20150224,201502,DW-2309010067,,一般商品,听,,8.8,9.8,否
1711,22,休闲,2203,膨化点心,220306,综合包,20150224,201502,DW-2203060010,,一般商品,袋,,32.9,33.9,是
682,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020032,,生鲜,千克,,4.25,7.96,否
1712,20,粮油,2014,酱菜类,201401,榨菜,20150224,201502,DW-2014010017,,一般商品,袋,,1.5,1.5,否
395,22,休闲,2205,炒货,220504,开心果,20150224,201502,DW-2205040025,,一般商品,袋,,23.9,23.9,否
337,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050011,,生鲜,千克,,1.02,6.56,否
1562,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020013,,生鲜,千克,,3.96,4,否
1708,22,休闲,2207,糖果,220799,其他糖果,20150224,201502,DW-2207990017,,一般商品,包,,3.5,3.5,否
1595,22,休闲,2210,果冻,221004,立袋可吸果冻,20150224,201502,DW-2210040004,,一般商品,袋,,2.3,2.5,否
1700,15,日配,1508,冷冻点心,150801,冷冻面食,20150224,201502,DW-1508010040,,一般商品,袋,,12.7,13.9,否
383,20,粮油,2005,煮食面/粉,200501,挂面,20150224,201502,DW-2005010013,,一般商品,袋,,2.8,2.9,否
20,15,日配,1501,冷藏肉制品,150101,香肠类,20150224,201502,DW-1501010132,,一般商品,袋,,7.5,7.5,否
1188,12,蔬果,1203,水果,120307,蕉类,20150224,201502,DW-1203070022,,生鲜,KG,,10.79,5.96,否
487,22,休闲,2201,饼干,220111,趣味/休闲,20150224,201502,DW-2201110123,,一般商品,袋,,2.8,2.9,否
983,22,休闲,2203,膨化点心,220304,薯条,20150224,201502,DW-2203040010,,一般商品,袋,,3.4,3.5,否
983,33,文体,3319,笔类,331903,中性笔,20150224,201502,DW-3319030015,,一般商品,支,,1.5,1.5,否
1083,20,粮油,2010,食用油,201004,玉米油,20150224,201502,DW-2010040008,,一般商品,桶,,99,87.9,否
1701,23,酒饮,2314,进口酒,231404,预调酒,20150224,201502,DW-2314040058,,一般商品,瓶,,12.5,13.8,否
1713,21,冲调,2101,奶粉,210109,营养奶粉,20150224,201502,DW-2101090014,,一般商品,袋,,17.9,20.9,否
253,12,蔬果,1203,水果,120313,其它水果,20150224,201502,DW-1203130332,,生鲜,KG,,7.42,5.96,否
1444,15,日配,1501,冷藏肉制品,150101,香肠类,20150224,201502,DW-1501010109,,一般商品,袋,,2,2.3,否
1447,22,休闲,2212,无糖食品,221202,无糖休闲食品,20150224,201502,DW-2212020462,,一般商品,KG,,13.1,24,否
1083,22,休闲,2201,饼干,220112,饼干礼盒,20150224,201502,DW-2201120142,,一般商品,盒,,29.9,49,是
1272,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150224,201502,DW-1505020011,,一般商品,袋,,2.4,2.4,否
1706,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020037,,生鲜,千克,,3.51,3.96,否
1712,20,粮油,2005,煮食面/粉,200505,鸡蛋挂面,20150224,201502,DW-2005050019,,一般商品,袋,,3.9,4.7,是
1703,23,酒饮,2316,香烟,231601,国产省内香烟,20150224,201502,DW-2316010024,,一般商品,包,,20,22,否
593,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010005,,生鲜,千克,,2.61,5.8,否
231,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050011,,生鲜,千克,,1.4,6.56,否
1714,30,洗化,3006,洗衣用品,300602,洗衣液,20150224,201502,DW-3006020107,,一般商品,瓶,,38.9,38.9,否
1705,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010004,,生鲜,千克,,3.34,5.6,否
145,33,文体,3321,学生用品,332199,其他学生用品,20150224,201502,DW-3321990027,,一般商品,筒,,11,11.3,否
3,20,粮油,2007,南北干货,200705,桂圆,20150224,201502,DW-2007050037,,一般商品,kg,,1.8,19.8,是
231,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010019,,生鲜,千克,,4.85,1.96,否
395,22,休闲,2205,炒货,220501,核桃/肉,20150224,201502,DW-2205010018,,一般商品,袋,,23.5,23.5,否
1701,33,文体,3316,娱乐玩具,331601,棋牌类,20150224,201502,DW-3316010110,,一般商品,副,,2.9,2.9,否
1708,20,粮油,2001,袋装速食面,200199,其他袋装面,20150224,201502,DW-2001990011,,一般商品,袋,,2.5,3,否
1708,22,休闲,2207,糖果,220799,其他糖果,20150224,201502,DW-2207990016,,一般商品,袋,,3.5,3.5,否
383,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010025,,生鲜,千克,,2.41,3.96,否
383,15,日配,1517,常温肉制品,151701,猪肉火腿肠,20150224,201502,DW-1517010009,,一般商品,根,,3.2,3.3,否
20,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150224,201502,DW-1202048059,,生鲜,千克,,2.43,7.76,否
1292,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020361,,生鲜,kg,,5.7,56,否
145,20,粮油,2006,五谷杂粮,200607,杂粮,20150224,201502,DW-2006070057,,一般商品,公斤,,16.86,7.8,否
412,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020008,,生鲜,千克,,6.79,5.8,否
1688,22,休闲,2201,饼干,220111,趣味/休闲,20150224,201502,DW-2201110064,,一般商品,盒,,4,4.5,否
857,20,粮油,2015,罐头,201501,八宝粥,20150224,201502,DW-2015010036,,一般商品,个,,38.4,3.2,否
983,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010021,,生鲜,千克,,1.7,6.56,否
92,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020043,,生鲜,千克,,4.51,1.8,否
1706,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020361,,生鲜,kg,,15.1,56,否
1701,23,酒饮,2314,进口酒,231404,预调酒,20150224,201502,DW-2314040060,,一般商品,瓶,,12.5,13.8,否
1701,23,酒饮,2314,进口酒,231404,预调酒,20150224,201502,DW-2314040062,,一般商品,瓶,,12.5,13.8,否
1041,12,蔬果,1201,蔬菜,120106,菌菇类,20150224,201502,DW-1201060093,,生鲜,袋,,5.8,5.5,否
105,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150224,201502,DW-1202048043,,生鲜,千克,,2.09,6.96,否
105,20,粮油,2011,液体调料,201107,滴醋,20150224,201502,DW-2011070010,,一般商品,瓶,,3.8,3.8,否
1562,12,蔬果,1203,水果,120302,苹果类,20150224,201502,DW-1203020218,,生鲜,KG,,52.6,10,否
718,23,酒饮,2302,纯果汁,230201,纯柳橙汁,20150224,201502,DW-2302010001,,一般商品,盒,,41.4,12.3,否
1041,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010023,,生鲜,千克,,3.4,2.56,否
395,22,休闲,2211,进口食品,221101,进口休闲食品,20150224,201502,DW-2211012149,,一般商品,袋,,12.9,13.9,否
1688,15,日配,1521,蛋类,152101,新鲜蛋品,20150224,201502,DW-1521010011,,一般商品,盒,,78,78,否
236,12,蔬果,1201,蔬菜,120102,根茎,20150224,201502,DW-1201020017,,生鲜,千克,,3.7,2.56,否
1595,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150224,201502,DW-1202048059,,生鲜,千克,,1.3,7.76,否
1700,15,日配,1501,冷藏肉制品,150101,香肠类,20150224,201502,DW-1501010132,,一般商品,袋,,7.5,7.5,否
383,12,蔬果,1201,蔬菜,120106,菌菇类,20150224,201502,DW-1201060004,,生鲜,千克,,3.05,16.8,否
487,22,休闲,2204,蜜饯,220403,梅,20150224,201502,DW-2204030086,,一般商品,袋,,2.7,2.7,否
803,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010004,,生鲜,千克,,5.3,5.6,否
1188,12,蔬果,1203,水果,120303,梨类,20150224,201502,DW-1203030184,,生鲜,KG,,6.14,4,否
487,22,休闲,2201,饼干,220111,趣味/休闲,20150224,201502,DW-2201110093,,一般商品,盒,,5.8,6.5,否
487,22,休闲,2202,糕点,220202,蛋糕,20150224,201502,DW-2202020054,,一般商品,盒,,5.7,5.9,否
857,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150224,201502,DW-2002010015,,一般商品,组,,69.6,14.7,否
857,21,冲调,2105,冲调食品,210502,豆奶粉,20150224,201502,DW-2105020087,,一般商品,袋,,23.5,24.3,否
1388,15,日配,1521,蛋类,152101,新鲜蛋品,20150224,201502,DW-1521010005,,一般商品,千克,,21.2,6.78,否
1388,20,粮油,2006,五谷杂粮,200603,常规面粉,20150224,201502,DW-2006030214,,一般商品,袋,,18.9,21.9,否
267,23,酒饮,2302,纯果汁,230204,果蔬汁,20150224,201502,DW-2302040001,,一般商品,瓶,,5,5,否
1041,12,蔬果,1201,蔬菜,120106,菌菇类,20150224,201502,DW-1201060002,,生鲜,千克,,4.52,18,否
130,12,蔬果,1201,蔬菜,120105,鲜调味,20150224,201502,DW-1201050004,,生鲜,千克,,2,5.98,否
1711,20,粮油,2015,罐头,201501,八宝粥,20150224,201502,DW-2015010036,,一般商品,个,,38.4,3.2,否
1444,12,蔬果,1203,水果,120303,梨类,20150224,201502,DW-1203030164,,生鲜,KG,,8.84,9.96,否
1562,12,蔬果,1201,蔬菜,120101,叶菜,20150224,201502,DW-1201010004,,生鲜,千克,,1.26,5.6,否
